type,name,iso_country,municipality,iata_code
large_airport,Bucharest Henri Coandă International Airport,RO,Otopeni,OTP
large_airport,Sibiu International Airport,RO,Sibiu,SBZ
medium_airport,Satu Mare International Airport,RO,Satu Mare,SUJ
large_airport,Suceava Ștefan cel Mare International Airport,RO,Suceava,SCV
medium_airport,Tulcea Danube Delta Airport,RO,Mihail Kogălniceanu,TCE
medium_airport,Târgu Mureş Transilvania International Airport,RO,Recea,TGM
large_airport,Timișoara Traian Vuia International Airport,RO,Timişoara,TSR
large_airport,Geneva Cointrin International Airport,CH,Geneva,GVA
medium_airport,Sion Airport,CH,Sion,SIR
medium_airport,Emmen Air Base,CH,Emmen,EML
medium_airport,Payerne Air Base,CH,Payerne,VIP
medium_airport,Lugano Airport,CH,Agno,LUG
medium_airport,Bern Airport,CH,Bern,BRN
small_airport,Buochs Airport,CH,Buochs,BXO
large_airport,Zürich Airport,CH,Zurich,ZRH
medium_airport,Sankt Gallen Altenrhein Airport,CH,St. Gallen,ACH
medium_airport,Engadin Airport,CH,Samedan,SMV
large_airport,Esenboğa International Airport,TR,Ankara,ESB
medium_airport,Etimesgut Air Base,TR,Ankara,ANK
large_airport,Adana Şakirpaşa Airport,TR,Seyhan,ADA
medium_airport,İncirlik Air Base,TR,Sarıçam,UAB
medium_airport,Afyon Air Base,TR,Afyonkarahisar,AFY
large_airport,Antalya International Airport,TR,Antalya,AYT
large_airport,Gaziantep Oğuzeli International Airport,TR,Gaziantep,GZT
medium_airport,Kastamonu Airport,TR,Kastamonu,KFS
large_airport,Konya Airport,TR,Konya,KYA
small_airport,Amasya Merzifon Airport,TR,Amasya,MZH
small_airport,Sivas Nuri Demirağ Airport,TR,Sivas,VAS
medium_airport,Zonguldak Çaycuma Airport,TR,Zonguldak,ONQ
medium_airport,Malatya Erhaç Airport,TR,Malatya,MLX
large_airport,Kayseri Erkilet International Airport,TR,Kayseri,ASR
medium_airport,Tokat Airport,TR,Tokat,TJK
medium_airport,Çardak Airport,TR,Denizli,DNZ
large_airport,Nevşehir Kapadokya Airport,TR,Nevşehir,NAV
large_airport,İstanbul Atatürk Airport,TR,Istanbul(Bakırköy),ISL
small_airport,Aydın Çıldır Airport,TR,Aydın,CII
medium_airport,Balıkesir Airport,TR,Balıkesir,BZI
medium_airport,Bandırma Airport,TR,Bandırma,BDM
medium_airport,Çanakkale Airport,TR,Çanakkale,CKZ
medium_airport,Eskişehir Air Base,TR,Eskişehir,ESK
large_airport,Adnan Menderes International Airport,TR,Gaziemir,ADB
medium_airport,Çiğli Airbase,TR,Çiğli,IGL
medium_airport,Uşak Airport,TR,Uşak,USQ
medium_airport,Cengiz Topel Airport,TR,Kartepe,KCO
medium_airport,Bursa Yenişehir Airport,TR,Yenişehir,YEI
large_airport,Dalaman International Airport,TR,Dalaman,DLM
medium_airport,Tekirdağ Çorlu Airport,TR,Çorlu,TEQ
small_airport,Bodrum-Imsık Airport,TR,Bodrum,BXN
large_airport,Hasan Polatkan Airport,TR,Eskişehir,AOE
small_airport,Zafer Airport,TR,Altıntaş,KZR
medium_airport,Elazığ Airport,TR,Elazığ,EZS
medium_airport,Ordu–Giresun Airport,TR,Ordu,OGU
medium_airport,Diyarbakır Airport,TR,Diyarbakır,DIY
medium_airport,Erzincan Airport,TR,Erzincan,ERC
medium_airport,Erzurum International Airport,TR,Erzurum,ERZ
medium_airport,Kars Airport,TR,Kars,KSY
medium_airport,Trabzon International Airport,TR,Trabzon,TZX
medium_airport,Van Ferit Melen Airport,TR,Van,VAN
medium_airport,Batman Airport,TR,Batman,BAL
medium_airport,Muş Airport,TR,Muş,MSR
medium_airport,Siirt Airport,TR,Siirt,SXZ
medium_airport,Sinop Airport,TR,Sinop,NOP
medium_airport,Kahramanmaraş Airport,TR,Kahramanmaraş,KCM
medium_airport,Ağrı Airport,TR,Ağrı,AJI
medium_airport,Adıyaman Airport,TR,Adıyaman,ADF
medium_airport,Mardin Airport,TR,Mardin,MQM
large_airport,Şanlıurfa GAP Airport,TR,Şanlıurfa,GNY
medium_airport,Iğdır Airport,TR,Iğdır,IGD
small_airport,Bingöl Airport,TR,Bingöl,BGG
medium_airport,Şırnak Şerafettin Elçi Airport,TR,Şırnak,NKT
medium_airport,Hakkari Yüksekova Airport,TR,Hakkari,YKO
medium_airport,Hatay Airport,TR,Antakya,HTY
large_airport,Çukurova International Airport,TR,Tarsus,COV
small_airport,Leitre Airport,PG,Leitre,LTF
small_airport,Selçuk Efes Airport,TR,Selçuk,IZM
medium_airport,Süleyman Demirel International Airport,TR,Isparta,ISE
large_airport,Balıkesir Koca Seyit Airport,TR,Edremit,EDO
large_airport,Milas Bodrum International Airport,TR,Bodrum,BJV
medium_airport,Gazipaşa-Alanya Airport,TR,Gazipaşa,GZP
medium_airport,Samsun-Çarşamba Airport,TR,Samsun,SZF
large_airport,Istanbul Sabiha Gökçen International Airport,TR,"Pendik, Istanbul",SAW
small_airport,Gökçeada Airport,TR,Gökçeada,GKD
large_airport,İstanbul Airport,TR,Istanbul,IST
large_airport,Rize–Artvin Airport,TR,Rize,RZV
medium_airport,Bălți-Leadoveni International Airport,MD,Bălți,BZY
large_airport,Chişinău International Airport,MD,Chişinău,RMO
medium_airport,Daugavpils International Airport,LV,Daugavpils,DGP
small_airport,Lebak Rural Airport,PH,Lebak,LWA
large_airport,Ohrid St. Paul the Apostle Airport,MK,Ohrid,OHD
large_airport,Skopje International Airport,MK,Ilinden,SKP
large_airport,Gibraltar Airport,GI,Gibraltar,GIB
medium_airport,Brak Airport,LY,Brak,BCQ
small_airport,Martuba Air Base,LY,Martuba,DNF
large_airport,Belgrade Nikola Tesla Airport,RS,Belgrade,BEG
small_airport,Berane Airport,ME,Berane,IVG
medium_airport,Batajnica Air Base,RS,Zemun,BJY
medium_airport,Morava Airport,RS,Kraljevo,KVO
large_airport,Niš Constantine the Great Airport,RS,Niš,INI
large_airport,Podgorica Airport / Podgorica Golubovci Airbase,ME,Podgorica,TGD
medium_airport,Tivat Airport,ME,Tivat,TIV
medium_airport,Ponikve Airport,RS,Stapari,UZC
medium_airport,Langzhong Gucheng Airport,CN,Nanchong (Langzhong),LZG
large_airport,M. R. Štefánik Airport,SK,Bratislava,BTS
medium_airport,Košice International Airport,SK,Košice,KSC
small_airport,Lučenec Airfield,SK,Lučenec,LUE
medium_airport,Piešťany Airport,SK,Piešťany,PZY
small_airport,Prešov Air Base,SK,Prešov,POV
medium_airport,Sliač Airport,SK,Sliač,SLD
medium_airport,Poprad-Tatry Airport,SK,Poprad,TAT
medium_airport,Žilina-Dolný Hričov Airport,SK,Dolný Hričov,ILZ
small_airport,Drummond Airport,US,Drummond,DRU
small_airport,Guelmim Airport,MA,Guelmim,GLN
small_airport,Ware Airport,US,Ware,UWA
small_airport,Mamai Airport,PG,Mamai,MAP
medium_airport,JAGS McCartney International Airport,TC,Cockburn Town,GDT
small_airport,Middle Caicos Airport,TC,Middle Caicos,MDS
medium_airport,North Caicos Airport,TC,North Caicos,NCA
small_airport,Pine Cay Airport,TC,Pine Cay,PIC
large_airport,Providenciales International Airport,TC,Providenciales,PLS
medium_airport,South Caicos Airport,TC,South Caicos,XSC
small_airport,Salt Cay Airport,TC,Salt Cay,SLX
medium_airport,Maria Montez International Airport,DO,Barahona,BRX
medium_airport,Cabo Rojo Airport,DO,Cabo Rojo,CBJ
medium_airport,Samaná El Catey International Airport,DO,Samana,AZS
small_airport,Constanza - Expedición 14 de Junio National Airport,DO,Costanza,COZ
medium_airport,La Isabela International Airport,DO,La Isabela,JBQ
large_airport,Casa De Campo International Airport,DO,La Romana,LRM
large_airport,Punta Cana International Airport,DO,Punta Cana,PUJ
medium_airport,Gregorio Luperon International Airport,DO,Puerto Plata,POP
large_airport,Las Américas International Airport,DO,Santo Domingo,SDQ
large_airport,Cibao International Airport,DO,Santiago,STI
small_airport,Médouneu Airport,GQ,"Médouneu, Gabon",MDV
small_airport,Loring International Airport,US,Limestone,LIZ
small_airport,Melfi Airport,TD,Melfi,MEF
small_airport,Ankokoambo Airport,MG,Ankokoambo,NKO
small_airport,Relais de la Reine Airport,MG,Isalo,RLR
small_airport,Doany Airport,MG,Doany,DOA
medium_airport,Coban Airport,GT,Coban,CBV
small_airport,Carmelita Airport,GT,Carmelita,CMM
small_airport,Coatepeque Airport,GT,Coatepeque,CTF
large_airport,La Aurora International Airport,GT,Guatemala City,GUA
small_airport,Huehuetenango Airport,GT,Huehuetenango,HUG
small_airport,National Wildlife Refuge Airport,US,Matagorda Island,MGI
small_airport,Manga Airport,PG,Manga Mission,MGP
medium_airport,Puerto Barrios Airport,GT,Puerto Barrios,PBR
small_airport,Playa Grande Airport,GT,Playa Grande,PKJ
small_airport,Poptún Airport,GT,Poptún,PON
small_airport,Quiché Airport,GT,Santa Cruz del Quiché,AQB
small_airport,Quezaltenango Airport,GT,Quezaltenango,AAZ
medium_airport,Rubelsanto Airport,GT,Rubelsanto,RUV
small_airport,Las Vegas Airport,GT,Rio Dulce,LCF
medium_airport,Retalhuleu Airport,GT,Retalhuleu,RER
medium_airport,San José Airport,GT,Puerto San José,GSJ
medium_airport,Mundo Maya International Airport,GT,San Benito,FRS
small_airport,Ujae Atoll Airport,MH,Ujae Atoll,UJE
small_airport,Ailuk Airport,MH,Ailuk Island,AIM
small_airport,Aur Island Airport,MH,Aur Atoll,AUL
small_airport,Bikini Atoll Airport,MH,Bikini Atoll,BII
small_airport,Ebadon Airport,MH,Ebadon Island,EBN
small_airport,Jabot Airport,MH,Ailinglapalap Atoll,JAT
small_airport,Jeh Airport,MH,Ailinglapalap Atoll,JEJ
small_airport,Likiep Airport,MH,Likiep Island,LIK
small_airport,Lae Island Airport,MH,Lae Island,LML
small_airport,Maloelap Island Airport,MH,Maloelap Island,MAV
small_airport,Mejit Atoll Airport,MH,Mejit Atoll,MJB
small_airport,Majkin Airport,MH,Majkin,MJE
small_airport,Namorik Airport,MH,Namorik Atoll,NDK
small_airport,Rongelap Island Airport,MH,Rongelap Island,RNP
small_airport,Tinak Airport,MH,Arno Atoll,TIC
small_airport,Jaluit Airport,MH,Jabor Jaluit Atoll,UIT
small_airport,Woja Airport,MH,Woja,WJA
small_airport,Wotje Airport,MH,Wotje,WTE
small_airport,Wotho Island Airport,MH,Wotho Island,WTO
small_airport,Ahuas Airport,HN,Ahuas,AHS
small_airport,Brus Laguna Airport,HN,Brus Laguna,BHG
small_airport,Carta Airport,HN,La Unión,LUI
small_airport,Coyoles Airport,HN,Coyoles,CYL
small_airport,Cauquira Airport,HN,Cauquira,CDD
small_airport,El Arrayán Airport,HN,Olanchito,OAN
small_airport,El Aguacate Airport,HN,El Aguacate,CAA
small_airport,Celaque Gracias Airport,HN,Gracias,GAC
small_airport,Iriona Airport,HN,Iriona,IRN
small_airport,Jutigalpa airport,HN,Jutigalpa,JUT
medium_airport,Golosón International Airport,HN,La Ceiba,LCE
small_airport,La Esperanza Airport,HN,La Esperanza,LEZ
large_airport,Ramón Villeda Morales International Airport,HN,San Pedro Sula,SAP
small_airport,Limon Airport,HN,Limón,LMH
